order_id,order_date,customer_id,product_name,category,region,channel,quantity,unit_price,discount_pct,order_status
ORD-1489,3/28/2025,CUST-240,Standing Desk,Furniture,Central,Partner,4,249.99,0.15,Completed
ORD-1429,6/3/2025,CUST-272,Standing Desk,FURNITURE,South,Partner,2,,0,Completed
ORD-1082,5/4/2025,CUST-137,Backpack,Lifestyle,South,In-Store,2,39.99,0.15,Refunded
ORD-1120,5/26/2025,CUST-293,Backpack,Lifestyle,North,Online,3,39.99,0,Completed
ORD-1221,4/1/2025,CUST-238,Desk Lamp,Furniture,Central,In-Store,1,22,0.15,Completed
ORD-1147,4/18/2025,CUST-128,Standing Desk,Furniture,Central,In-Store,1,,0.15,Completed
ORD-1032,7/23/2025,CUST-274,Wireless Mouse,Electronics,North,In-Store,2,19.99,0.15,Completed
ORD-1385,1/31/2025,CUST-167,USB-C Cable,Electronics,West,In-Store,1,9.99,0,Refunded
ORD-1200,5/21/2025,CUST-155,Desk Lamp,Furniture,Central,Partner,3,22,0.15,Pending
ORD-1481,2/24/2025,CUST-192,Water Bottle,Lifestyle,Central,Partner,2,12,0.1,Completed
ORD-1295,1/24/2025,CUST-254,Desk Lamp,FURNITURE,East,Partner,2,22,0,Cancelled
ORD-1261,7/26/2025,CUST-252,USB-C Cable,Electronics,East,Partner,2,9.99,0.2,Completed
ORD-1433,4/7/2025,CUST-217,Standing Desk,Furniture,South,In-Store,2,249.99,0,Pending
ORD-1474,1/9/2025,CUST-108,Wireless Mouse,Electronics,West,Online,1,19.99,0.2,Completed
ORD-1459,1/18/2025,CUST-216,Laptop Stand,Electronics,East,Online,2,34.99,0.15,Cancelled
ORD-1457,2/18/2025,CUST-163,Office Chair,Furniture,Central,In-Store,1,129.99,0.1,Completed
ORD-1355,5/21/2025,CUST-275,Ballpoint Pens (12pk),Stationery,South,Online,5,4.25,0.2,Cancelled
ORD-1466,7/23/2025,CUST-162,Ballpoint Pens (12pk)  ,STATIONERY,North,In-Store,3,,0.2,Pending
ORD-1115,6/20/2025,CUST-173,Yoga Mat,Lifestyle,West,Partner,1,18.75,0.15,Completed
ORD-1403,4/3/2025,CUST-214,Yoga Mat,Lifestyle,East,In-Store,4,18.75,0.15,Completed
ORD-1013,5/6/2025,CUST-114,USB-C Cable,Electronics,East,In-Store,1,9.99,0,Completed
ORD-1274,4/9/2025,CUST-135,USB-C Cable,Electronics,West,In-Store,1,9.99,0,Pending
ORD-1308,2/15/2025,CUST-137,Office Chair,Furniture,East,Online,1,129.99,0,Completed
ORD-1485,6/26/2025,CUST-176,USB-C Cable,ELECTRONICS,North,Partner,5,9.99,0.1,Cancelled
ORD-1336,4/9/2025,CUST-156,Backpack,Lifestyle,Central,Online,1,39.99,0,Pending
ORD-1497,1/3/2025,CUST-268,Wireless Mouse,Electronics,East,Partner,5,19.99,0,Pending
ORD-1132,5/27/2025,CUST-228,Wireless Mouse  ,Electronics,East,Partner,5,19.99,0,Completed
ORD-1375,1/2/2025,CUST-249,Desk Lamp,Furniture,North,Partner,1,22,0,Completed
ORD-1259,1/27/2025,CUST-108,Desk Lamp,Furniture,South,In-Store,2,22,0,Pending
ORD-1268,4/20/2025,CUST-140,Desk Lamp,Furniture,South,Partner,5,,0,Completed
ORD-1278,2/25/2025,CUST-173,Wireless Mouse,Electronics,North,In-Store,1,,0.1,Refunded
ORD-1496,6/19/2025,CUST-172,Wireless Mouse,Electronics,East,Online,4,19.99,0,Completed
ORD-1301,5/8/2025,CUST-122,Wireless Mouse,Electronics,Central,In-Store,2,19.99,0,Completed
ORD-1146,2/25/2025,CUST-235,Wireless Mouse,Electronics,Central,Partner,1,,0,Refunded
ORD-1025,4/18/2025,CUST-166,Office Chair,Furniture,Central,Partner,1,129.99,0,Completed
ORD-1484,7/27/2025,CUST-155,Notebook Set,Stationery,Central,In-Store,2,6.5,0.1,Refunded
ORD-1313,3/23/2025,CUST-263,Backpack,Lifestyle,North,Partner,1,39.99,0,Cancelled
ORD-1246,4/11/2025,CUST-138,Laptop Stand  ,Electronics,Central,Partner,2,34.99,0,Refunded
ORD-1346,2/19/2025,CUST-205,Water Bottle,LIFESTYLE,West,Partner,1,12,0,Completed
ORD-1222,6/21/2025,CUST-261,Wireless Mouse,Electronics,North,In-Store,1,19.99,0,Completed
ORD-1418,5/10/2025,CUST-145,Wireless Mouse,Electronics,South,Partner,2,19.99,0,Completed
ORD-1051,6/1/2025,CUST-209,Water Bottle,Lifestyle,North,Online,1,12,0,Cancelled
ORD-1258,1/29/2025,CUST-193,Water Bottle,Lifestyle,East,Partner,5,12,0.2,Pending
ORD-1427,3/9/2025,CUST-285,Desk Lamp,Furniture,North,Partner,4,22,0.15,Completed
ORD-1040,2/14/2025,CUST-100,Yoga Mat,Lifestyle,East,In-Store,4,18.75,0.15,Refunded
ORD-1089,3/15/2025,CUST-294,Bluetooth Speaker,Electronics,North,In-Store,2,45.5,0.1,Completed
ORD-1206,3/31/2025,CUST-132,Bluetooth Speaker,Electronics,Central,In-Store,1,45.5,0,Refunded
